Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0020           0.2965       0.2955       0.0010     7.9
0.0040           0.2966       0.2926       0.0040    30.7
0.0060           0.2966       0.2879       0.0087    67.1
0.0080           0.2966       0.2816       0.0150   115.9
0.0100           0.2966       0.2742       0.0225   173.9
0.0120           0.2967       0.2658       0.0309   239.0
0.0140           0.2967       0.2571       0.0396   306.4
0.0160           0.2967       0.2483       0.0484   374.1
0.0180           0.2967       0.2399       0.0567   439.0
0.0200           0.2968       0.2322       0.0646   500.1
